simulation,bootstrap_se_0,bootstrap_se_1,bootstrap_se_2,bootstrap_se_3,bootstrap_se_4,theoretical_se_0,theoretical_se_1,theoretical_se_2,theoretical_se_3,theoretical_se_4
22,0.048160632204304055,0.04575702672726884,0.0436918303404327,0.04566349904860976,0.046927201596925344,0.04758876852088617,0.047410225607669325,0.04696961122441077,0.04594903797645914,0.047451381981647195
23,0.04173175613181684,0.044009621486222984,0.043604637974218596,0.04123776286421175,0.04248447574027923,0.04845125000524112,0.05001572149828117,0.04860577295572843,0.047651218104502666,0.048012013000280754
24,0.04505599125144578,0.045419181323941314,0.046387464332689525,0.046796204102620205,0.045449967773725994,0.046295762517716735,0.0465808813413762,0.048746260448634136,0.04748947241355755,0.04858518477380909
25,0.04217609898331184,0.04164262971053586,0.045766511238611356,0.041362881945943404,0.04144824376216115,0.04748518171466067,0.046551093143191495,0.049698206966797824,0.04685753231822555,0.04698724843965839
26,0.05297866597728516,0.053810315699644076,0.05226407453622977,0.05425783200746923,0.05629351160148695,0.045316922305629795,0.047293475969805245,0.04605398948409156,0.04851089021524425,0.048475840920330415
27,0.041068093618235574,0.04381366159130056,0.04088157804334551,0.04586620848746515,0.04244539418218389,0.046473376152695894,0.049357310170119365,0.048353841361184764,0.04936828859114673,0.047416470598348734
28,0.047347913642688415,0.046006650958581904,0.049854704106569316,0.047368309775500474,0.05248018014050422,0.04814423605597952,0.04595376948473982,0.0479663407852765,0.04725787299279764,0.04886300054565191
29,0.05115769781872129,0.05230835429071051,0.05504959881794036,0.05664546870048834,0.05058646314001995,0.047173392129479186,0.0467672977677808,0.046862638542821224,0.04868007433042931,0.04750757496211783
30,0.04827947531979267,0.043102247131576905,0.04861226178409504,0.0472936155498283,0.046598017724519984,0.0478838180302725,0.045924417235533185,0.04723196137310714,0.04655145722831652,0.04644508891931475
31,0.04214471354134785,0.04376047563179556,0.04352287583838123,0.04607371026880157,0.04430499465796586,0.047241652814476655,0.04744384426639067,0.047417253465312996,0.0487368103926509,0.0480773304743599
32,0.044953259365804146,0.04303550307867299,0.04433984984451611,0.0433469768351471,0.04091241910049498,0.04852735884186073,0.04912900542563913,0.0495540067737399,0.04798834651302843,0.0462715075147697
33,0.043865191417149826,0.04455814267509303,0.04453481134319999,0.04671686896386496,0.044076081450145334,0.047205795687354286,0.04657234802963012,0.04666590006427678,0.04908296665522301,0.04816798354425586
34,0.05005738100016936,0.048138292376124325,0.04870511428651242,0.048167327191595076,0.04670382437395362,0.047263443838284784,0.04812722233243431,0.048372370228014015,0.04689101059929479,0.04751555728942231
35,0.04051513524367071,0.04034245554559424,0.03871694371620092,0.041031210244793885,0.03862534910399464,0.047456111980744176,0.047376221386248155,0.0471854531594309,0.04766840931901475,0.04728284743884898
36,0.05231726987276721,0.054373184487649905,0.057936078304512285,0.05146099371270687,0.055867238581837175,0.046747839681871906,0.047668832882644716,0.04832905900032849,0.0460917849288838,0.04825244739790228
37,0.06466569120380312,0.0604755961013476,0.05730982846181719,0.06001333298941544,0.06181173170882482,0.04794354583864069,0.04755442218426516,0.0455420907277519,0.0467501107236435,0.047277897128367725
38,0.041469797080820256,0.0427477898617008,0.04253267381629971,0.043375610409209064,0.04280687035036666,0.045832674989622936,0.04718242593807851,0.045829204687588644,0.04633587236583414,0.046223879395200874
39,0.040960079323492694,0.04127331908967913,0.04238985399082441,0.041292411693378356,0.045028333598974096,0.04477652544867651,0.04691689881375788,0.04602768843070087,0.04760182794787163,0.05014065112427052
40,0.04407146823522474,0.04947629334803264,0.04458952383850291,0.04399393935846695,0.04480467261711594,0.047686770864327994,0.05044925355284999,0.04825314312110876,0.04730414545542032,0.04759336951697584
41,0.06454492953314044,0.06537569149728309,0.06642434296541247,0.06597190191776506,0.06691222598163041,0.04657771567061145,0.04710484151551498,0.04940311188120591,0.04808364674227656,0.047670609602890796
42,0.06659904739499783,0.07058858884601428,0.06658057504968426,0.0731547766322743,0.06292086121060646,0.0482269089275647,0.05019539463535372,0.049414969286887385,0.048549006891214434,0.04715442854272569
43,0.04483438764590995,0.043099384087354926,0.04205193077156403,0.04346919464249393,0.042928708655368776,0.04660454489728223,0.04700865378120864,0.04589317090704889,0.04812030345996286,0.0481500840873156
44,0.04311990599873709,0.04362553450181305,0.04249052272275486,0.045552870249000676,0.04272940625767863,0.04750710170223718,0.04822133979581624,0.04755739534686011,0.04753554086375453,0.04655002837913477
45,0.04814622723183464,0.05202173830403468,0.0427045808898933,0.047634208454926254,0.05011102115157693,0.04859051306140263,0.0492452551314988,0.04601442601407383,0.04733252005230615,0.04806638020838457
46,0.043392864058282236,0.04575767400287345,0.04600075732425118,0.04778581636592144,0.04606650415789286,0.04714188027504792,0.04655262709614338,0.04763851084197827,0.046941261736889596,0.04640309085373082
47,0.04584801580692494,0.04628601436882579,0.04536307603408932,0.04780795907120108,0.04530634477958039,0.04838331715725542,0.04920237841384429,0.04814079859239417,0.04718776508847598,0.047886876278622224
48,0.051753983063520546,0.050425194000524455,0.05339680373326875,0.0539596020990597,0.052291012018869175,0.0475375702643731,0.04590005548706217,0.048940658443453064,0.04855108439587946,0.049152211433710624
49,0.03927555979053072,0.041901543164049586,0.04173461842938514,0.03699979749876486,0.03903693393400672,0.04858366704395062,0.04954784369594536,0.04850154026446205,0.046531014096593326,0.047478268887017346
