simulation,bootstrap_se_0,bootstrap_se_1,bootstrap_se_2,bootstrap_se_3,bootstrap_se_4,theoretical_se_0,theoretical_se_1,theoretical_se_2,theoretical_se_3,theoretical_se_4
35,0.04427022834839898,0.04298738430768145,0.040868920775971096,0.04561572396464987,0.04495711192243967,0.047456111980744176,0.047376221386248155,0.0471854531594309,0.04766840931901475,0.04728284743884898
36,0.04835561345426864,0.05027821894114249,0.05095292727726991,0.050689702402333205,0.05195744861878131,0.046747839681871906,0.047668832882644716,0.04832905900032849,0.0460917849288838,0.04825244739790228
37,0.04731237261368527,0.04779600320961481,0.04308596282472986,0.04921573631592327,0.04502017452209823,0.04794354583864069,0.04755442218426516,0.0455420907277519,0.0467501107236435,0.047277897128367725
38,0.04837338124835589,0.04724554545025385,0.04760177329674317,0.0458249982905802,0.04479085204060334,0.045832674989622936,0.04718242593807851,0.045829204687588644,0.04633587236583414,0.046223879395200874
39,0.042382176344059164,0.04876592801001959,0.04676265875172296,0.04654377791881027,0.05122544238071247,0.04477652544867651,0.04691689881375788,0.04602768843070087,0.04760182794787163,0.05014065112427052
40,0.04743132014554616,0.04969237801985596,0.05011171580476849,0.04888667349550111,0.046544447993997935,0.047686770864327994,0.05044925355284999,0.04825314312110876,0.04730414545542032,0.04759336951697584
41,0.042993486107950424,0.04384876442902136,0.04318585476950542,0.04403285224498678,0.04505944829520692,0.04657771567061145,0.04710484151551498,0.04940311188120591,0.04808364674227656,0.047670609602890796
42,0.048890124312382696,0.04988481302808324,0.04904889495368128,0.04562560255193201,0.04420617695685721,0.0482269089275647,0.05019539463535372,0.049414969286887385,0.048549006891214434,0.04715442854272569
43,0.048456654529538866,0.04485213325201164,0.04246944253679319,0.046524927796638596,0.04515050360746024,0.04660454489728223,0.04700865378120864,0.04589317090704889,0.04812030345996286,0.0481500840873156
44,0.044266763402272064,0.04318895465037662,0.04363254274002204,0.04384850850347473,0.041997817801409515,0.04750710170223718,0.04822133979581624,0.04755739534686011,0.04753554086375453,0.04655002837913477
45,0.04829432605426593,0.049552329873629335,0.04651332003861905,0.048088973492907756,0.04777399255827813,0.04859051306140263,0.0492452551314988,0.04601442601407383,0.04733252005230615,0.04806638020838457
46,0.047878266457341674,0.04474552170082788,0.04980778067719305,0.047857640947014134,0.047505632845671025,0.04714188027504792,0.04655262709614338,0.04763851084197827,0.046941261736889596,0.04640309085373082
47,0.04813370557999354,0.04879749735249224,0.04451509733594573,0.04532618968285714,0.044138455627765805,0.04838331715725542,0.04920237841384429,0.04814079859239417,0.04718776508847598,0.047886876278622224
48,0.04858554261121946,0.04321411280978163,0.04771568421954655,0.04791566943808323,0.04827119342591704,0.0475375702643731,0.04590005548706217,0.048940658443453064,0.04855108439587946,0.049152211433710624
49,0.04782335045805389,0.04930402709463596,0.048534339858207154,0.04657655932058846,0.04646533961160481,0.04858366704395062,0.04954784369594536,0.04850154026446205,0.046531014096593326,0.047478268887017346
