simulation,bootstrap_se_0,bootstrap_se_1,bootstrap_se_2,bootstrap_se_3,bootstrap_se_4,theoretical_se_0,theoretical_se_1,theoretical_se_2,theoretical_se_3,theoretical_se_4
25,0.06819203200788937,0.05893558394566206,0.07283891306257088,0.06354308040017667,0.06647173610949542,0.04748518171466067,0.046551093143191495,0.049698206966797824,0.04685753231822555,0.04698724843965839
26,0.06392500963404371,0.066888283246377,0.06913033577481759,0.06989034423272279,0.07032719909013702,0.045316922305629795,0.047293475969805245,0.04605398948409156,0.04851089021524425,0.048475840920330415
27,0.06213605740010055,0.06784442879330724,0.06776391186176625,0.06622118295269572,0.06904530808496853,0.046473376152695894,0.049357310170119365,0.048353841361184764,0.04936828859114673,0.047416470598348734
28,0.0656681555258214,0.0665454812040975,0.06486236908656665,0.059808692556395295,0.06633578501892157,0.04814423605597952,0.04595376948473982,0.0479663407852765,0.04725787299279764,0.04886300054565191
29,0.061892708984536776,0.06529871059456258,0.0659484293995848,0.06430068439145908,0.06653793543812972,0.047173392129479186,0.0467672977677808,0.046862638542821224,0.04868007433042931,0.04750757496211783
30,0.06623081180815692,0.06472145651436957,0.06885314399604109,0.06358947979318386,0.06669500178837602,0.0478838180302725,0.045924417235533185,0.04723196137310714,0.04655145722831652,0.04644508891931475
31,0.06757350361870079,0.06670253278966927,0.0678266267495228,0.06765607623524651,0.06490618189202668,0.047241652814476655,0.04744384426639067,0.047417253465312996,0.0487368103926509,0.0480773304743599
32,0.0668926243282484,0.06743609236486625,0.07272289334763922,0.06634829279619325,0.06334188960619909,0.04852735884186073,0.04912900542563913,0.0495540067737399,0.04798834651302843,0.0462715075147697
33,0.0680445073325355,0.06625969144846336,0.06602793172163568,0.07081230278355387,0.06856751749053294,0.047205795687354286,0.04657234802963012,0.04666590006427678,0.04908296665522301,0.04816798354425586
34,0.06957587746077233,0.07140437620104899,0.06526585778697559,0.07281034958647936,0.07053327608394099,0.047263443838284784,0.04812722233243431,0.048372370228014015,0.04689101059929479,0.04751555728942231
35,0.067243782571931,0.06187478077312785,0.06927515961825337,0.06761738555721043,0.06828371681133236,0.047456111980744176,0.047376221386248155,0.0471854531594309,0.04766840931901475,0.04728284743884898
36,0.06471201707717149,0.0619324633156408,0.06638429978263032,0.06380629120869341,0.06520266227912955,0.046747839681871906,0.047668832882644716,0.04832905900032849,0.0460917849288838,0.04825244739790228
37,0.06578521895178191,0.06073436571126199,0.05953330179478864,0.06016381837250342,0.06263706621516645,0.04794354583864069,0.04755442218426516,0.0455420907277519,0.0467501107236435,0.047277897128367725
38,0.06693925658300597,0.06944996226774088,0.06975389094363275,0.06806023017981205,0.06888557730613387,0.045832674989622936,0.04718242593807851,0.045829204687588644,0.04633587236583414,0.046223879395200874
39,0.06896478601257303,0.07198793123455287,0.06777017054719446,0.07060620725564926,0.07916368299280972,0.04477652544867651,0.04691689881375788,0.04602768843070087,0.04760182794787163,0.05014065112427052
