simulation,beta_0_hat,beta_1_hat,beta_2_hat,beta_3_hat,beta_4_hat,ci_lower_0,ci_lower_1,ci_lower_2,ci_lower_3,ci_lower_4,ci_upper_0,ci_upper_1,ci_upper_2,ci_upper_3,ci_upper_4
30,2.5819953386498793,-1.7986013775685525,3.1676268760326294,0.5314821367683479,-0.6383067158432136,2.4884130228864,-1.8853076016659471,3.0659166465406127,0.43650368142296103,-0.7228503957394767,2.6726445469588382,-1.7124314737298234,3.2556587075213272,0.620569125815212,-0.5484329267475866
31,2.5416542408273983,-1.8066807164200303,3.2505428291549494,0.45718516842560475,-0.6833854963477265,2.4577297010061896,-1.8895005675576566,3.1593414052906494,0.36538679539320323,-0.7610527541912652,2.623652169261228,-1.7159828157212969,3.3254065191801825,0.5412194486728643,-0.5951711684363284
32,2.377089434268481,-1.8487641813965647,3.301588047096795,0.5031647084027178,-0.7177846876535637,2.2970485018069158,-1.9278831835351984,3.2109388059808333,0.4176693530837715,-0.8014579144446231,2.464994521213658,-1.7647837256289738,3.3802953424441946,0.5851504576564215,-0.6467998241901682
33,2.4631970624249937,-1.8106610312694267,3.1957593188362927,0.4824044303006891,-0.681298909771219,2.3736601604156156,-1.9026533645073187,3.1051815644937504,0.39598011789135695,-0.7707015002506398,2.5498293241667396,-1.724947810476301,3.284571262251226,0.5761584217814215,-0.597099917405647
34,2.522659459957012,-1.8469782388125329,3.2175807756984174,0.5033784761653785,-0.6436590530025471,2.4297523494648727,-1.9578087684102368,3.122143418732798,0.412156654637128,-0.7352599193361059,2.6210980750404524,-1.7594598812173439,3.3104304735088306,0.6006544684131785,-0.5532224176465472
35,2.4857505340869586,-1.8289550782134103,3.1738310246427597,0.4892591587085168,-0.7049073171666479,2.40225933093557,-1.913537444226551,3.1018757288817973,0.40816945203539545,-0.7789031328478715,2.5600892311308674,-1.7555575931816583,3.2462489454473893,0.5662742543061029,-0.6330464442944206
36,2.522032136487,-1.7950598681824916,3.1658181490405277,0.4811266851839317,-0.6146676581301135,2.415942163224253,-1.893234082564276,3.0488568583701623,0.37367015716333934,-0.7275321918328315,2.6175063836364876,-1.6858636769313138,3.269727184839954,0.5714908754602706,-0.5031590479911129
37,2.5465199672083916,-1.7290315716059814,3.24532237482984,0.5314527950409962,-0.6163030672388089,2.4293620772184927,-1.8521763487328713,3.1325819779331003,0.41067557745076966,-0.7435862542106201,2.680312479682833,-1.6099048316667912,3.3668450814304594,0.6413656223474252,-0.4944234367836132
38,2.480200913379819,-1.8424657773413753,3.1865466016630086,0.575672491042706,-0.6525087824745165,2.3925810701549546,-1.9300249413482964,3.107070241854431,0.49231211439114847,-0.7394325014107415,2.5553231195860375,-1.7601417055665738,3.2774130364250684,0.6644920230674636,-0.5696855917319659
39,2.5496140895226804,-1.7788602446125148,3.1669751608037315,0.5160952953389109,-0.7149352836650195,2.4746614404149705,-1.8552783596101838,3.084562750643683,0.43366665395984566,-0.8030115188645353,2.6278603323843273,-1.6912328638446672,3.2511172073829657,0.596722769984276,-0.6238620016821792
40,2.4552768663617406,-1.850676586874608,3.202242059598736,0.4483317493301918,-0.6650618337848971,2.365089565102007,-1.940518192124859,3.1153076783727265,0.372678732102481,-0.7522950048862955,2.541353635956981,-1.7515416642243407,3.2914156602520745,0.538755681842314,-0.575665500782913
