simulation,beta_0_hat,beta_1_hat,beta_2_hat,beta_3_hat,beta_4_hat,ci_lower_0,ci_lower_1,ci_lower_2,ci_lower_3,ci_lower_4,ci_upper_0,ci_upper_1,ci_upper_2,ci_upper_3,ci_upper_4
48,2.5621651925999496,-1.7489944682700693,3.1575645567314337,0.5106506685190276,-0.7034704427597163,2.4657189284534073,-1.8414971314137747,3.0569264558773015,0.4209859263615,-0.801972977955419,2.6544571808302937,-1.652586222195483,3.2572360766295088,0.6034135374652256,-0.613458322521212
49,2.4852099002399624,-1.7595137840233928,3.263097100624436,0.48396974255655617,-0.7078917823159817,2.3890075981583077,-1.8647328165942914,3.171744668854866,0.38882148488626256,-0.7977917545883467,2.568284093025347,-1.659082248812552,3.3579113222768653,0.5728363504996762,-0.6205326102246599
50,2.422271634231641,-1.7794272671408256,3.096630388308864,0.529816038292755,-0.7000788023404635,2.3414582313271444,-1.8712772407768765,2.9944467771420684,0.4311242048143912,-0.7873231153200246,2.515788365616555,-1.6887522516978886,3.1906326033858807,0.6260210809006789,-0.6139937260746309
51,2.55920195971025,-1.7705683399134833,3.183152058466977,0.45992910357710054,-0.6292042426543014,2.4745871122960263,-1.8547601341654216,3.092949230550539,0.3794581692887956,-0.7114539791396369,2.639187607382526,-1.6828593509049747,3.2728923145433444,0.5539158715021338,-0.5383076549616773
52,2.5634710000579655,-1.8149945366302724,3.203734976813628,0.4761392108825447,-0.7745205835218908,2.4665642466919837,-1.9121081083488205,3.117202089324439,0.386619533587817,-0.8621994106705467,2.6525749618438224,-1.73256919948762,3.3011472443460788,0.5705299769959231,-0.6829712011854255
53,2.523913346602222,-1.7936897530084508,3.1527904480560855,0.4723505448306288,-0.6160645634695372,2.435188907135187,-1.8795666120824086,3.050529703530626,0.3787308546766206,-0.7172914933326804,2.609934068068017,-1.7077344797861747,3.253616346739386,0.5711459003171816,-0.5235351243707852
54,2.488334927850761,-1.8320651737432478,3.1974680294037694,0.47397533859306706,-0.6838653631006023,2.3972907890887996,-1.9258214083924494,3.1077619197494264,0.3820377006745144,-0.7764458048751063,2.5824570263195157,-1.7394746336298352,3.283010938105105,0.5657386191786241,-0.5949924127696746
55,2.5244591905738574,-1.8800495941066908,3.229652937067454,0.507257305360151,-0.6488986816975965,2.4308527766309607,-1.970347748792314,3.141716805113593,0.4171761732442635,-0.7513677070274849,2.6124284540308844,-1.785552468288414,3.324716679743578,0.5951222083145516,-0.568433156046208
56,2.493854230829662,-1.8550583728465186,3.2808786564414647,0.4360292438723696,-0.6511227822115608,2.3972661188777553,-1.9420806711486847,3.185810526106364,0.3454662197019394,-0.7359468444692063,2.5907231539342543,-1.7523815252421904,3.3744690767694214,0.5344873539996151,-0.5567005280847128
57,2.481545482969793,-1.845662622221432,3.25085410066592,0.4965550554538097,-0.7548537661304999,2.4056489945476165,-1.9431011504416575,3.1492618470875087,0.3936685831569125,-0.8384824827391882,2.5746916467565173,-1.7620916926729542,3.346393262565769,0.5887259354789112,-0.6684180883130462
58,2.4646069987841437,-1.8132070417598585,3.2575885790823635,0.40808556318383804,-0.6445827550601305,2.37705573867898,-1.8937267339737738,3.1641820256140925,0.31923938752906805,-0.7336083439736792,2.5471115024241566,-1.7175587885987516,3.3462295739007653,0.4935964401819157,-0.5577128373499202
59,2.4883252307617303,-1.850213180600221,3.1823577629820927,0.5042331727017554,-0.6577233085628994,2.4045801900968664,-1.9380338351641417,3.091676482114687,0.4208018891909419,-0.7311882466142482,2.5705060716006605,-1.7631896927830768,3.2650677564657666,0.5961561484722921,-0.5720204394338874
60,2.5219901328278764,-1.776494722776257,3.163724831980698,0.5387947086855528,-0.7791546523187869,2.421956434144823,-1.8803290680128288,3.081675348581907,0.43983998559245546,-0.8851207470622311,2.613977921417378,-1.6797199342210316,3.275437034534071,0.6357698854647603,-0.6948459272169604
61,2.490992187551541,-1.840508289121391,3.2167590474974577,0.48974463900970844,-0.6880703923547348,2.387816883565811,-1.932671804496022,3.122411613902175,0.3955680629140389,-0.7678412015716318,2.5791245204870186,-1.7494800773905121,3.3153705071420547,0.5876995308911885,-0.5917617616985722
62,2.5516144641959184,-1.8992930922184013,3.237973562722717,0.5434925733662631,-0.6995772132085357,2.46148852270448,-1.9874570784746366,3.1496378739329254,0.4466958035672898,-0.7971326977726976,2.647724011112796,-1.799141397805017,3.3331043667013063,0.6352361066357384,-0.618173157903125
63,2.4781651230520128,-1.7777569186792548,3.2426201861676898,0.5090500122520424,-0.7443605851390711,2.395821892101218,-1.873409838964631,3.1494899118875725,0.4165944633903219,-0.8283645369299582,2.563827134355044,-1.6901753995608593,3.3405177309904484,0.5954673169876503,-0.65112346679912
64,2.5004729788552926,-1.8181245789457725,3.22444975486255,0.4492473199793947,-0.6987748382296909,2.410698102230581,-1.9080016181177646,3.129170186070807,0.3608399620935378,-0.7979740607883989,2.594014099100213,-1.7323835813513577,3.310824745441357,0.5403686193062271,-0.6004049162198835
65,2.463351527632846,-1.7508559814962161,3.209786837781492,0.4808672135900387,-0.6903184955545244,2.373234663550418,-1.8470665336029644,3.1191535671247883,0.38355937251062394,-0.7870728219175201,2.5659394651162795,-1.6580287033993033,3.3034274965065515,0.573455722178393,-0.5887578650087756
66,2.5411668366792584,-1.8070695403321135,3.1955731715730162,0.5090828503008834,-0.7251710320786972,2.461750466923289,-1.8996053448655852,3.1084056986054875,0.41868451516108696,-0.812742075799382,2.630277159581895,-1.7158989624522778,3.278071194355918,0.6007901663274019,-0.6266989158018171
67,2.434386067606457,-1.8120336752207715,3.2160804737616946,0.53319922035933,-0.7879266120442607,2.3244837883405567,-1.8889049000995795,3.1088295447107126,0.44070485943325577,-0.8812394960986685,2.5247855711042826,-1.7118056147876353,3.309266411977574,0.6245183755916942,-0.6816796101442558
68,2.4809755558152546,-1.8434592878134308,3.228992525453417,0.5131910727892681,-0.7012775003593336,2.392086300223863,-1.9328979601855514,3.144520264400988,0.42331873719025365,-0.7982081377992628,2.562038771337489,-1.7451760143100747,3.3163036851825596,0.6039093003107587,-0.6204545535357793
69,2.505989636731985,-1.824850365076855,3.2290569273299274,0.5407109453077295,-0.6571590220350971,2.414474052427701,-1.9204326375617307,3.12956239593524,0.4454834114479408,-0.7572361264004122,2.604775002696612,-1.7279692874085322,3.322497105129287,0.6330879037909549,-0.5460164568361159
70,2.457107541060026,-1.7841025425347605,3.249605458920096,0.5233355365052575,-0.717238893277999,2.3579969353028005,-1.8666908458493277,3.154192584309873,0.42436162620289886,-0.8064606403792003,2.5384208332945684,-1.6862830876340362,3.3371740026199457,0.6163668723853016,-0.6223776838593259
71,2.5126768867675193,-1.774707772167268,3.164053917300981,0.505411058006397,-0.7001404204370654,2.4158148897974905,-1.8739474771775135,3.0712631580808036,0.4193424240039417,-0.7960358496789784,2.6082913319031014,-1.686423656914506,3.2532397101158703,0.6036313642875869,-0.6014891438115993
72,2.537730050088392,-1.8124439463252617,3.228921231415171,0.4780732830485569,-0.658281060028476,2.43964176181056,-1.9045051570122138,3.1430693503627163,0.37785738834475135,-0.7480079702944661,2.6239454175443524,-1.7156563559912217,3.3094236367627827,0.566151830679564,-0.5705081200256404
73,2.5913225137624343,-1.8756096113953928,3.2495729948202428,0.5131806871122305,-0.6970754665278539,2.49054832191571,-1.9765551172613336,3.1588381823889877,0.418584714214255,-0.7865827940969575,2.679766096137754,-1.7809306024207312,3.3403528908161366,0.6112379149696727,-0.6056887700962735
74,2.544420459862538,-1.7824020566701158,3.256668461579193,0.41980170624900265,-0.6930845890143998,2.444592475697168,-1.8799338075021155,3.1516643808464866,0.34629585298524135,-0.7871760149801471,2.6332112640469036,-1.6932838207508691,3.3357407958584258,0.5230908424350851,-0.6021008983105712
75,2.4549426421531964,-1.8054734525221516,3.2133783494999464,0.5414807791122832,-0.7553852136075684,2.347884032663608,-1.9090497611265835,3.1305865811465865,0.4495644034356449,-0.8552570374462823,2.5512015135602306,-1.722129904894174,3.3128332645963994,0.6484592541456572,-0.664938563063128
76,2.473761592714673,-1.7175298949411253,3.2589650775006636,0.5175767541805875,-0.7229378857472666,2.371433788636179,-1.8158358230892342,3.171424478040367,0.4218790023129582,-0.8314181014926577,2.5580454306766334,-1.6258503248858462,3.354931107539976,0.6092015656729862,-0.6231313817132387
77,2.418768621235937,-1.8234302029364988,3.320729401111236,0.5057594978472849,-0.7243790252719707,2.3291359559214486,-1.9153621794704714,3.2337736336625356,0.4067668275051291,-0.8081355341398442,2.5099074945216655,-1.7307102702553847,3.413205565116112,0.5996977218144751,-0.634517021878174
78,2.525478969701031,-1.8254383901844888,3.212911685423997,0.4393911373427077,-0.7227118083083537,2.4316150936002656,-1.9257287007655115,3.112298339409433,0.3428527861774652,-0.8178119102329228,2.6142195922362506,-1.72215973761907,3.3027001504564697,0.5435207526593713,-0.6330164534099754
79,2.4576260025943424,-1.7525048820229898,3.197356337383148,0.5564378590902308,-0.7186915715361732,2.3629750956259237,-1.8413529658444614,3.1094559306309226,0.47011210812630005,-0.817241782224136,2.558223477305941,-1.654595794604108,3.2845849642183977,0.6409560840613908,-0.6247233989909415
80,2.6295510802006143,-1.7119910811742374,3.175987113732658,0.5050256215820426,-0.7114144668921514,2.5277281819430213,-1.8100972074799517,3.0623244952535678,0.4126096016893949,-0.8096110876400694,2.7289002785535224,-1.629376035214517,3.277036949431192,0.5984685438812959,-0.6208464365557995
81,2.3679002281417536,-1.812154988697564,3.1433728897531363,0.4604740599468232,-0.6947961734897841,2.280417679443167,-1.8969287994163873,3.063148769168586,0.3741102997423218,-0.7838143140824335,2.45695217495823,-1.724765874192762,3.240037867923027,0.5531442905635077,-0.5947333421505807
82,2.5537953043626858,-1.814224579922013,3.183263516937338,0.5306211949152873,-0.6478463212091529,2.4684167981775738,-1.9167354075135636,3.1015821731777997,0.43313620165659295,-0.7508135117869732,2.638089490274085,-1.7110378382616296,3.2978401109571487,0.6304076314631678,-0.5566580461226149
83,2.524066324790523,-1.659791690914332,3.218189764431796,0.5310354211052951,-0.6747870241234663,2.4238206103274686,-1.7577619072924453,3.12702662591964,0.43369059391397546,-0.7608438067999579,2.6250807378397294,-1.556441182824509,3.314841185462855,0.6206053141713276,-0.5805634659292294
84,2.4652517642425447,-1.7737736074780035,3.284401232365622,0.5009220889704032,-0.7115780988711674,2.3551248040267594,-1.8658360835020782,3.191890419519108,0.40542627871231257,-0.8023329318295519,2.559623438033686,-1.6781237088253254,3.373941705705004,0.5965856427404185,-0.6188739412974984
85,2.5135611561028464,-1.7934591881424127,3.2303097626188038,0.5345976971286376,-0.7764336556395977,2.424318788234847,-1.8886799753107262,3.1433696097484325,0.45292795929837404,-0.8639410512306613,2.609777012830588,-1.7096182612422728,3.325543089604406,0.6256005874227059,-0.6927026810099708
86,2.4365212373186913,-1.751027617928951,3.127426082969065,0.5408512381379633,-0.6886693320194328,2.3513100240359632,-1.8372236038201841,3.0343140352283258,0.4559423395488785,-0.785011689132774,2.5243542352375714,-1.6514323991490347,3.2118256257420343,0.6267603777848738,-0.5898269864365951
87,2.538296941663036,-1.8098046133187926,3.156685631777619,0.3848561347360981,-0.7510943186273878,2.4408100848156455,-1.8890158410929374,3.0666883495886483,0.2983196325847888,-0.8402742285688262,2.6319095006241726,-1.7078776495047148,3.2419780674247303,0.4774561778285781,-0.6543307889360488
88,2.5321679278470355,-1.744483418325427,3.206173984929758,0.48108192420215057,-0.7696861037412426,2.438544866240903,-1.8438286102544827,3.119914593886956,0.38860856465993016,-0.8585192562990814,2.621422083114861,-1.6475327353906715,3.2976303536940614,0.5814181040527847,-0.677940279748481
89,2.531436817922446,-1.8034059216552933,3.147166205189584,0.5215998335366872,-0.670943571287566,2.4435598880627727,-1.8801742767451386,3.0566558949533684,0.4234455707106229,-0.7585265207237385,2.620954952430855,-1.715865753760664,3.236317139263361,0.6238349732607632,-0.5747898831174184
